aX,aY,aZ,gX,gY,gZ
0.382,-0.128,-0.854,1.465,-2.380,2.258
0.381,-0.183,-0.830,1.831,-1.587,-1.038
0.394,-0.241,-0.858,-0.671,0.488,-3.174
0.397,-0.276,-0.897,-3.479,1.953,-3.052
0.398,-0.275,-0.905,-5.310,1.099,-2.075
0.393,-0.221,-0.918,-6.470,1.404,-0.183
0.395,-0.171,-0.934,-6.836,2.563,1.038
0.383,-0.173,-0.940,-8.057,2.991,-0.488
0.391,-0.206,-0.936,-10.498,2.441,-2.625
0.403,-0.263,-0.966,-11.047,2.075,-4.272
0.388,-0.267,-0.939,-6.714,0.183,-2.930
0.375,-0.252,-0.872,-1.099,-1.526,-0.793
0.377,-0.238,-0.914,2.930,0.366,0.793
0.380,-0.252,-0.964,2.747,1.709,0.854
0.364,-0.272,-0.915,0.427,-1.343,0.305
0.353,-0.254,-0.898,-2.014,-1.648,1.099
0.355,-0.199,-0.920,-2.625,0.671,2.502
0.358,-0.157,-0.917,-3.662,1.038,1.648
0.363,-0.180,-0.910,-6.226,0.610,-1.526
0.370,-0.237,-0.915,-8.301,0.488,-4.456
0.366,-0.263,-0.889,-7.080,-0.183,-4.822
0.368,-0.257,-0.866,-4.578,-0.671,-3.662
0.366,-0.286,-0.885,-2.563,0.854,-3.235
0.374,-0.319,-0.878,-1.526,1.099,-2.563
0.378,-0.334,-0.917,-1.709,2.319,-1.343
0.383,-0.322,-0.922,-2.197,2.136,0.793
0.382,-0.290,-0.914,-3.296,1.221,2.747
0.371,-0.257,-0.908,-5.188,1.465,3.418
0.374,-0.213,-0.907,-7.202,1.648,3.113
0.385,-0.198,-0.936,-9.216,2.441,1.404
0.385,-0.204,-0.947,-9.705,1.953,-0.671
0.384,-0.224,-0.935,-8.179,0.549,-1.953
0.376,-0.251,-0.880,-3.113,-1.038,-1.892
0.384,-0.261,-0.895,1.648,0.427,-0.854
0.396,-0.281,-0.909,3.662,0.854,-0.732
0.393,-0.304,-0.900,3.052,0.000,-0.793
0.391,-0.334,-0.894,1.160,0.000,-0.427
0.399,-0.325,-0.934,-0.244,1.953,1.099
0.396,-0.314,-0.946,-1.465,1.892,2.747
0.379,-0.268,-0.915,-2.136,0.244,4.333
0.378,-0.242,-0.889,-3.052,-0.427,4.395
0.387,-0.254,-0.908,-4.822,0.793,2.625
0.396,-0.281,-0.917,-5.493,0.244,1.343
0.391,-0.270,-0.905,-4.333,-0.671,2.014
0.384,-0.246,-0.866,-2.563,-1.465,3.174
0.387,-0.224,-0.889,-1.953,-0.061,3.174
0.392,-0.217,-0.904,-2.441,0.366,2.502
0.381,-0.247,-0.868,-2.869,-1.221,0.977
0.379,-0.281,-0.851,-2.563,-0.671,0.610
0.387,-0.254,-0.897,-1.099,2.136,2.075
0.392,-0.243,-0.904,0.305,2.075,3.235
0.383,-0.253,-0.898,-0.183,0.916,2.502
0.380,-0.255,-0.878,-1.099,0.244,1.892
0.381,-0.259,-0.887,-1.526,1.099,1.831
0.383,-0.244,-0.915,-1.526,2.258,2.563
0.380,-0.222,-0.914,-1.953,1.404,3.052
-0.223,-2.354,-1.522,-23.560,53.894,-46.936
-0.292,-2.471,-1.699,-40.100,46.875,-40.466
-0.368,-2.753,-1.764,-60.425,32.471,-38.269
-0.478,-3.276,-1.713,-77.026,15.137,-34.973
-0.558,-3.917,-1.551,-83.496,-3.418,-19.836
-0.661,-4.000,-1.229,-83.191,-19.775,13.245
-0.837,-4.000,-0.935,-77.820,-22.888,66.406
-1.180,-4.000,-0.771,-68.176,-14.771,134.155
-0.999,-4.000,-0.705,-68.237,1.892,208.130
-1.186,-3.981,-1.104,-62.012,17.090,278.137
-1.489,-3.702,-0.887,-54.749,3.723,320.435
-1.669,-3.017,-1.091,-61.035,12.939,371.704
-1.822,-2.046,-1.352,-66.833,23.071,420.898
-1.899,-1.278,-1.320,-84.717,13.855,445.129
-1.872,-0.547,-1.503,-119.629,8.667,453.491
-1.781,-0.017,-1.626,-157.959,-4.822,448.486
-1.654,0.415,-1.511,-173.645,-28.687,438.965
-1.612,1.061,-1.289,-147.522,-47.058,440.918
-1.606,1.926,-0.681,-93.933,-61.218,447.937
-1.515,2.946,-0.048,-36.011,-62.744,441.162
-1.246,3.879,0.374,15.869,-44.556,408.203
-0.870,4.000,0.438,39.795,-16.296,343.384
-0.469,4.000,0.173,27.100,13.184,249.084
-0.193,3.796,-0.174,-1.953,28.870,151.550
-0.021,2.756,-0.400,-39.490,28.442,56.091
0.116,1.762,-0.503,-77.454,23.621,-8.606
0.245,0.855,-0.760,-94.177,24.780,-40.161
0.289,0.243,-0.820,-88.684,21.606,-47.974
0.315,0.064,-0.660,-71.716,12.024,-35.889
