aX,aY,aZ,gX,gY,gZ
0.065,-0.345,-0.926,-1.709,-2.747,-3.235
0.083,-0.410,-0.930,-1.343,-1.587,-5.737
0.093,-0.460,-0.963,-0.122,-0.122,-5.981
0.095,-0.477,-0.968,1.953,-0.061,-3.845
0.092,-0.471,-0.988,1.770,-0.671,-1.648
0.096,-0.476,-1.015,0.244,-0.549,-0.061
0.094,-0.453,-1.032,-0.793,-1.465,1.953
0.092,-0.400,-1.002,-1.709,-3.967,4.028
0.090,-0.396,-0.972,-3.357,-5.981,3.418
0.106,-0.414,-0.954,-4.089,-5.859,2.197
0.096,-0.400,-0.944,-4.028,-5.798,2.808
0.097,-0.359,-0.927,-2.686,-5.737,3.662
0.089,-0.368,-0.915,-2.075,-5.066,2.075
0.083,-0.373,-0.911,-0.854,-4.395,0.732
0.089,-0.382,-0.918,-0.061,-3.540,-0.061
0.094,-0.436,-0.918,-0.549,-3.052,-1.709
0.099,-0.454,-0.934,-0.427,-2.441,-1.343
0.093,-0.431,-0.921,-0.305,-2.319,1.404
0.090,-0.407,-0.924,-0.488,-2.502,2.747
0.095,-0.400,-0.938,-1.282,-2.502,2.869
0.102,-0.412,-0.940,-1.465,-2.197,2.319
0.094,-0.408,-0.921,-1.709,-2.747,2.869
0.103,-0.419,-0.919,-3.174,-3.113,3.296
0.102,-0.439,-0.931,-4.150,-2.502,2.930
0.099,-0.405,-0.944,-4.211,-2.014,4.150
0.093,-0.373,-0.931,-3.540,-2.319,4.456
0.097,-0.377,-0.910,-2.136,-2.625,2.869
0.103,-0.400,-0.894,-1.221,-1.709,0.916
0.106,-0.428,-0.903,-0.610,-0.488,0.183
0.105,-0.403,-0.934,0.244,0.793,1.587
0.099,-0.403,-0.944,0.244,0.244,2.075
0.102,-0.431,-0.949,0.366,-0.305,1.099
0.100,-0.432,-0.951,0.366,-1.099,1.465
0.103,-0.419,-0.939,-0.427,-2.441,2.258
0.098,-0.420,-0.939,-1.526,-3.052,2.319
0.096,-0.397,-0.945,-1.648,-3.052,2.686
0.095,-0.392,-0.929,-1.587,-3.296,2.014
0.092,-0.402,-0.920,-1.831,-2.808,0.671
0.098,-0.403,-0.956,-1.221,-0.732,-0.122
0.096,-0.396,-0.965,-0.671,-1.099,-0.793
0.097,-0.418,-0.952,-1.038,-2.502,-1.953
0.095,-0.442,-0.948,-0.610,-3.540,-2.441
0.115,-0.429,-1.024,0.488,-4.089,-2.319
0.120,-0.474,-0.992,1.221,-9.277,-3.052
0.123,-0.501,-0.965,2.625,-14.099,-3.235
-0.337,2.674,0.947,-59.570,114.380,-26.611
-0.516,2.930,0.672,-65.125,130.981,-70.801
-0.650,2.898,0.672,-70.557,131.042,-126.465
-0.782,2.516,0.685,-72.205,134.338,-191.040
-0.902,2.041,0.604,-67.200,146.912,-249.207
-0.996,1.438,0.369,-58.716,165.344,-298.706
-1.019,0.715,0.061,-39.978,185.303,-337.524
-1.062,0.021,-0.166,-5.859,205.261,-356.201
-1.090,-0.404,-0.362,29.846,222.290,-355.164
-1.151,-0.668,-0.688,48.340,241.272,-342.712
-1.146,-1.084,-1.200,36.804,254.578,-334.412
