aX,aY,aZ,gX,gY,gZ
0.035,0.515,0.948,19.104,11.108,2.502
0.043,0.493,0.996,21.240,11.841,0.610
0.033,0.485,0.995,23.621,14.893,-0.244
0.022,0.493,0.994,26.001,17.151,0.122
0.025,0.492,0.994,28.503,18.066,0.244
0.032,0.470,0.988,32.349,19.287,-0.854
0.055,0.459,1.039,33.203,19.043,-1.831
0.074,0.459,1.118,36.072,19.104,-2.197
0.080,0.492,1.168,38.757,21.790,-2.380
0.091,0.556,1.162,36.560,27.405,-2.686
0.102,0.644,1.125,36.865,32.837,-4.822
0.113,0.676,1.107,41.199,35.095,-10.681
0.115,0.626,1.091,45.715,36.865,-19.287
0.115,0.551,1.062,49.316,39.795,-26.672
0.114,0.474,1.064,52.429,41.687,-31.128
0.106,0.380,1.060,53.345,43.518,-32.776
0.097,0.289,1.023,49.866,46.692,-32.043
0.087,0.255,1.021,41.870,47.668,-27.954
0.095,0.276,1.111,35.461,44.861,-22.949
0.118,0.314,1.254,31.738,42.542,-19.653
0.130,0.342,1.338,29.968,46.143,-18.982
0.140,0.356,1.360,36.011,54.321,-20.142
0.147,0.310,1.374,46.326,62.073,-22.888
0.165,0.224,1.412,51.208,68.237,-26.978
0.147,0.152,1.428,53.711,74.768,-28.503
0.147,0.121,1.319,60.181,83.557,-27.283
0.125,0.043,1.224,60.181,90.332,-27.893
0.127,-0.014,1.255,59.082,89.172,-26.672
0.143,-0.080,1.335,59.875,86.548,-22.705
-0.973,2.644,-1.846,-18.066,-163.879,150.269
-1.083,3.012,-1.603,-44.739,-213.257,121.765
-1.179,3.099,-1.105,-80.750,-254.944,81.848
-1.321,3.058,-0.788,-94.421,-273.865,42.419
-1.501,3.199,-0.908,-74.646,-275.330,11.597
-1.694,3.362,-1.059,-23.865,-285.278,-19.409
-1.844,3.477,-0.944,35.278,-312.744,-60.730
-1.967,3.556,-0.646,76.111,-342.407,-110.291
-2.119,3.501,-0.357,102.356,-360.046,-162.292
-2.223,3.336,0.077,110.107,-370.178,-212.585
-2.275,3.163,0.608,100.647,-375.000,-256.653
-2.354,2.895,1.144,99.426,-369.629,-298.462
-2.524,2.460,1.525,115.173,-353.882,-342.102
-2.714,2.001,1.888,150.574,-339.172,-384.033
-2.921,1.410,2.229,196.533,-324.036,-425.049
-3.085,0.375,2.638,236.145,-308.655,-469.177
-3.013,-1.349,3.157,226.379,-282.715,-496.704
